transport,strategy,fault,seed,events,requests,duplicates,lost,phantoms,ok
fresh,idem-key,concurrent,1,1000,10000,8499,0,0,5
fresh,idem-key,concurrent,2,1000,10000,8482,0,0,3
fresh,idem-key,concurrent,3,1000,10000,8557,0,0,7
fresh,idem-key,concurrent,4,1000,10000,8687,0,0,2
fresh,idem-key,concurrent,5,1000,10000,8649,0,0,3
fresh,dedup,concurrent,1,1000,10000,0,0,0,1000
fresh,dedup,concurrent,2,1000,10000,0,0,0,1000
fresh,dedup,concurrent,3,1000,10000,0,0,0,1000
fresh,dedup,concurrent,4,1000,10000,0,0,0,1000
fresh,dedup,concurrent,5,1000,10000,0,0,0,1000
pooled,idem-key,concurrent,1,1000,10000,8920,0,0,2
pooled,idem-key,concurrent,2,1000,10000,8909,0,0,1
pooled,idem-key,concurrent,3,1000,10000,8922,0,0,1
pooled,idem-key,concurrent,4,1000,10000,8911,0,0,2
pooled,idem-key,concurrent,5,1000,10000,8932,0,0,1
pooled,dedup,concurrent,1,1000,10000,0,0,0,1000
pooled,dedup,concurrent,2,1000,10000,0,0,0,1000
pooled,dedup,concurrent,3,1000,10000,0,0,0,1000
pooled,dedup,concurrent,4,1000,10000,0,0,0,1000
pooled,dedup,concurrent,5,1000,10000,0,0,0,1000
