strategy,fault,seed,events,requests,duplicates,lost,phantoms,ok
none,timeout,1,1000,2000,1000,0,0,0
none,concurrent,1,1000,10000,9000,0,0,0
idem-key,timeout,1,1000,2000,0,0,0,1000
idem-key,concurrent,1,1000,10000,8966,0,0,1
dedup,timeout,1,1000,2000,0,0,0,1000
dedup,concurrent,1,1000,10000,0,0,0,1000
none,timeout,2,1000,2000,1000,0,0,0
none,concurrent,2,1000,10000,9000,0,0,0
idem-key,timeout,2,1000,2000,0,0,0,1000
idem-key,concurrent,2,1000,10000,8953,0,0,1
dedup,timeout,2,1000,2000,0,0,0,1000
dedup,concurrent,2,1000,10000,0,0,0,1000
none,timeout,3,1000,2000,1000,0,0,0
none,concurrent,3,1000,10000,9000,0,0,0
idem-key,timeout,3,1000,2000,0,0,0,1000
idem-key,concurrent,3,1000,10000,8960,0,0,1
dedup,timeout,3,1000,2000,0,0,0,1000
dedup,concurrent,3,1000,10000,0,0,0,1000
none,timeout,4,1000,2000,1000,0,0,0
none,concurrent,4,1000,10000,9000,0,0,0
idem-key,timeout,4,1000,2000,0,0,0,1000
idem-key,concurrent,4,1000,10000,8966,0,0,1
dedup,timeout,4,1000,2000,0,0,0,1000
dedup,concurrent,4,1000,10000,0,0,0,1000
none,timeout,5,1000,2000,1000,0,0,0
none,concurrent,5,1000,10000,9000,0,0,0
idem-key,timeout,5,1000,2000,0,0,0,1000
idem-key,concurrent,5,1000,10000,8973,0,0,1
dedup,timeout,5,1000,2000,0,0,0,1000
dedup,concurrent,5,1000,10000,0,0,0,1000
idem-key,crash,1,100,200,0,100,0,0
dedup,crash,1,100,200,0,100,0,0
none,crash,2,100,200,0,0,0,100
idem-key,crash,2,100,200,0,100,0,0
dedup,crash,2,100,200,0,100,0,0
none,crash,3,100,200,0,0,0,100
idem-key,crash,3,100,200,0,100,0,0
dedup,crash,3,100,200,0,100,0,0
none,crash,4,100,200,0,0,0,100
idem-key,crash,4,100,200,0,100,0,0
dedup,crash,4,100,200,0,100,0,0
none,crash,5,100,200,0,0,0,100
idem-key,crash,5,100,200,0,100,0,0
dedup,crash,5,100,200,0,100,0,0
none,crash,1,100,200,0,0,0,100
